DeviceProfileName,Time,AirTemperature,AirHumidity,BarometricPressure,CO2SensorTemperature,Unit
Decentlab_Air_Monitor,2023-10-04T23:28:47.763+00:00,24.498712158203126,52.59947204589844,98430,24.3,°C
Decentlab_Air_Monitor,2023-10-04T23:28:49.919+00:00,24.498712158203126,52.59947204589844,98430,24.3,°C
Decentlab_Air_Monitor,2023-10-04T23:28:52.072+00:00,24.498712158203126,52.59947204589844,98430,24.3,°C
Decentlab_Air_Monitor,2023-10-04T23:30:43.521+00:00,24.45581176757812,52.612823486328125,98376,24.06,°C
Decentlab_Air_Monitor,2023-10-04T23:30:47.830+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-04T23:38:46.290+00:00,24.490668334960937,52.56513977050781,98424,24.29,°C
Decentlab_Air_Monitor,2023-10-04T23:38:48.443+00:00,24.490668334960937,52.56513977050781,98424,24.29,°C
Decentlab_Air_Monitor,2023-10-04T23:38:50.594+00:00,24.490668334960937,52.56513977050781,98424,24.29,°C
Decentlab_Air_Monitor,2023-10-04T23:40:38.972+00:00,24.43704284667968,52.57276916503906,98368,24.05,°C
Decentlab_Air_Monitor,2023-10-04T23:40:41.128+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-04T23:40:43.281+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-04T23:48:45.230+00:00,24.47994323730469,52.475494384765625,98414,24.28,°C
Decentlab_Air_Monitor,2023-10-04T23:48:47.389+00:00,24.47994323730469,52.475494384765625,98414,24.28,°C
Decentlab_Air_Monitor,2023-10-04T23:48:49.544+00:00,24.47994323730469,52.475494384765625,98414,24.28,°C
Decentlab_Air_Monitor,2023-10-04T23:50:43.894+00:00,24.420955200195316,52.48121643066406,98362,24.03,°C
Decentlab_Air_Monitor,2023-10-04T23:50:46.053+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-04T23:50:48.206+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-04T23:58:43.362+00:00,24.46921813964844,52.376312255859375,98416,24.27,°C
Decentlab_Air_Monitor,2023-10-04T23:58:45.512+00:00,24.46921813964844,52.376312255859375,98416,24.27,°C
Decentlab_Air_Monitor,2023-10-04T23:58:47.664+00:00,24.46921813964844,52.376312255859375,98416,24.27,°C
Decentlab_Air_Monitor,2023-10-05T00:00:37.806+00:00,24.407548828124995,52.399200439453125,98366,24.01,°C
Decentlab_Air_Monitor,2023-10-05T00:00:39.956+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-05T00:00:42.113+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-05T00:08:45.205+00:00,24.45581176757812,52.27903747558594,98410,24.26,°C
Decentlab_Air_Monitor,2023-10-05T00:08:47.360+00:00,24.45581176757812,52.27903747558594,98410,24.26,°C
Decentlab_Air_Monitor,2023-10-05T00:10:38.076+00:00,24.394142456054688,52.3343505859375,98358,24,°C
Decentlab_Air_Monitor,2023-10-05T00:10:40.226+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-05T00:10:42.378+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-05T00:18:45.566+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-05T00:18:51.065+00:00,24.44776794433593,52.21990966796875,98406,24.25,°C
Decentlab_Air_Monitor,2023-10-05T00:20:42.633+00:00,24.380736083984367,52.261871337890625,98354,23.99,°C
Decentlab_Air_Monitor,2023-10-05T00:28:46.492+00:00,24.434361572265622,52.15887451171875,98416,24.23,°C
Decentlab_Air_Monitor,2023-10-05T00:30:37.252+00:00,24.37001098632812,52.20465087890625,98364,23.97,°C
Decentlab_Air_Monitor,2023-10-05T00:40:42.997+00:00,24.35660461425781,52.17413330078125,98358,23.96,°C
Decentlab_Air_Monitor,2023-10-05T00:48:43.996+00:00,24.412911376953126,52.10546875,98410,24.21,°C
Decentlab_Air_Monitor,2023-10-05T00:50:40.476+00:00,24.345879516601563,52.185577392578125,98360,23.95,°C
Decentlab_Air_Monitor,2023-10-05T00:58:45.878+00:00,24.407548828124995,52.15887451171875,98410,24.2,°C
Decentlab_Air_Monitor,2023-10-05T01:00:41.509+00:00,24.332473144531242,52.246612548828125,98354,23.93,°C
Decentlab_Air_Monitor,2023-10-05T01:20:43.576+00:00,24.311022949218746,52.36677551269531,98350,23.92,°C
Decentlab_Air_Monitor,2023-10-05T01:28:42.598+00:00,24.37537353515625,52.315277099609375,98394,24.17,°C
Decentlab_Air_Monitor,2023-10-05T01:30:39.240+00:00,24.308341674804687,52.3953857421875,98338,23.91,°C
Decentlab_Air_Monitor,2023-10-05T01:38:48.352+00:00,24.36732971191406,52.300018310546875,98386,24.16,°C
Decentlab_Air_Monitor,2023-10-05T01:40:43.008+00:00,24.294935302734366,52.38584899902344,98332,23.9,°C
Decentlab_Air_Monitor,2023-10-05T01:50:44.560+00:00,24.28689147949219,52.349609375,98328,23.89,°C
Decentlab_Air_Monitor,2023-10-05T01:58:43.907+00:00,24.345879516601563,52.2427978515625,98376,24.15,°C
Decentlab_Air_Monitor,2023-10-05T02:00:41.161+00:00,24.27884765625,52.34197998046875,98320,23.88,°C
